"employee_id","type_id","phone_number"
"4763","1","201-301-3763"
"4764","1","218-228-8346"
"4765","4","314-674-1214"
"4766","4","212-961-3931"
"4767","4","307-285-6008"
"4768","1","308-497-0047"
"4769","1","270-614-9401"
"4770","1","218-547-8337"
"4771","1","216-666-4681"
"4772","4","236-574-4982"
"4773","1","319-624-2164"
"5091","1","319-624-2164"
"4774","1","207-443-5686"
"4775","4","216-896-4198"
"4776","1","210-568-0692"
"4777","4","316-568-0164"
"4778","4","236-267-9766"
"4779","1","210-352-1472"
"4780","1","205-572-9329"
"49370","1","205-572-9329"
"4781","1","212-465-1949"
"4782","4","205-768-5023"
"4783","1","231-459-0813"
"4784","4","215-670-4789"
"4785","1","209-570-2669"
"4786","4","231-357-9941"
"4787","1","319-894-3906"
"28518","1","319-894-3906"
"4788","1","212-253-8199"
"4789","4","216-497-9824"
"4790","1","210-277-8688"
"4791","1","219-364-9627"
"4792","4","239-595-6941"
"4793","1","270-653-1425"
"4794","4","210-666-9896"
"4795","4","479-639-7233"
"4796","4","212-397-0899"
"4797","4","209-369-7976"
"4798","1","423-287-4699"
"4799","1","206-784-7869"
"4800","4","210-824-1571"
"4801","4","236-224-6503"
"4802","4","219-467-1350"
"4803","1","339-276-1873"
"4804","1","215-264-7320"
"4805","4","215-404-9334"
"4806","1","406-221-3354"
"4807","1","209-614-2525"
"4808","4","229-503-4104"
"4809","1","262-799-8364"
"4810","4","314-595-0005"
"4811","1","239-491-2053"
"4812","4","217-840-2272"
"4813","1","423-513-2071"
"4814","1","215-300-7903"
"4815","1","215-525-5182"
"4816","1","308-798-4677"
"4817","4","479-377-1430"
"4818","4","405-372-6152"
"4819","1","217-959-9139"
"4820","4","239-426-6670"
"4821","1","207-647-9916"
"4822","1","216-674-6352"
"4823","4","423-459-3651"
"43562","1","423-459-3651"
"4824","1","701-797-6102"
"4825","1","209-901-3510"
"4826","1","228-691-2605"
"4827","4","212-418-0945"
"4828","4","208-612-3326"
"4829","1","304-445-0686"
"4187","4","212-934-1512"
"4830","4","212-934-1512"
"4831","4","385-855-5746"
"4832","1","314-593-1192"
"4833","1","236-510-2420"
"4834","1","236-640-2175"
"4835","4","209-912-5282"
"4836","4","480-690-5052"
"4837","1","236-250-2190"
"4838","4","405-671-6196"
"4839","4","479-455-9279"
"4840","1","262-976-2759"
"4841","4","307-345-5971"
"4842","1","209-312-7675"
"4843","1","215-579-9963"
"4844","4","207-550-4662"
"4845","1","203-401-2241"
"4147","1","212-475-3216"
"4846","1","212-475-3216"
"4847","4","215-599-2063"
"4848","4","209-436-3615"
"4849","4","209-948-1975"
"4850","1","212-796-1919"
"4851","1","339-460-2803"
"4852","1","907-283-4968"
"4853","4","209-840-8651"
"4854","1","210-437-5385"
"4855","4","229-728-1910"
"4856","1","423-664-6573"
"4857","4","217-257-8245"
"4858","1","219-883-7717"
"4859","4","308-297-1610"
"4860","1","270-678-8782"
"4861","1","339-906-9234"
"4862","4","319-647-5516"
"4863","4","229-683-6631"
"4864","1","314-750-4446"
"4865","1","215-215-2595"
"4866","1","314-764-7883"
"4867","1","239-429-4200"
"4868","4","209-228-8917"
"4869","4","270-340-1803"
"46129","1","270-340-1803"
"4870","4","505-396-6420"
"4871","4","229-703-4041"
"4872","1","423-786-0047"
"4873","1","262-561-2835"
"4874","1","205-430-5229"
"4875","4","603-598-8383"
"4876","4","252-523-8185"
"42367","1","252-523-8185"
"4877","1","205-384-4168"
"4878","1","262-276-0912"
"4879","1","231-630-1952"
"4880","4","240-762-6186"
"4881","4","203-937-6778"
"4882","4","215-970-2568"
"4883","1","206-243-1974"
"4884","4","339-852-9399"
"4885","4","206-577-4143"
"4886","4","202-375-1802"
"4887","4","339-705-8175"
"4888","1","405-668-5677"
"4889","1","210-983-2239"
"4890","4","210-476-2713"
"4891","4","239-807-2783"
"4892","1","210-308-5372"
